ID,Sentence,TW1,TW2,TW3,TW4,TW5,Question,VarName9,VarName10,VarName11,VarName12,answ,nchar,nword,hasQuest,Zstring,same_len,z_answ,zStr
11,"The loud construction noise annoyed many residents, who preferred to spend a quiet afternoon at home.","construction","annoyed","residents,","preferred","spend",What annoyed many residents?,the seagulls,the bad weather,the loud noise,the polluted air,3,101,16,1,Zzz zzzz zzzzzzzzzzzz zzszz zzzzzzz zzzz zzszzzzzzz zzz zzzzzzzzz sz zzzzz s zzzzz zzzzzzzzz zz zzzsz,1,5,Zzz zzzz zzzzzzzzzzzz zozzz zzzzozz zzzz zzzzzzzzzz zzz zzzzzzzzo zz zzzzz z zzzzz zzzzzzzzz zz zzzzz
12,"The midwife admired the serene baby following the difficult birth earlier in the day.","admired","serene","following","difficult","earlier",What did the midwife admire?,a flower,a dress,a cat,a baby,4,85,14,1,Zzz zzzzzzz zzzzszz zsz zzzzzs zzzz zzzzzzzzz szz szzzzzzzz zszzz zzzzzzz zz zzz zzzz,1,6,Zzz zzzzzzo zzzzzzz ozz zzzzzz zzzz zzzzzzzzz zzo zzzzzzzzz zzzzz zzzzzzz zo zzz zzzz
13,"For the position, only competent and experienced candidates would be invited for an interview.","position,","competent","experienced","would","invited",,,,,,NaN,94,14,0,Zzz zzz zzzzzzzzs szzz zzzzzszzz zzz zzzzzzzzzzz zzszzzzzzz zzzzz zs zszzzzz zzz sz zzzzzzzzzz,1,7,Zzz zzz zzzzzzzzz zzzz zzzzzzzzz zzo zzzzzzzzzzz zzzzzzzzzz zzzzz zz zzzzzzz zzz zz zzzzzzzzzz
14,"The new hotel had impressive dining halls that featured expensive pieces of art.","hotel","impressive","halls","featured","pieces",,,,,,NaN,80,13,0,Zzs zzz zzzzs zzz zzzzzzzzsz zzzzzz zzzsz zszz zzzzzszz zzzzzzzsz zzzszz zz zzzz,1,8,Zzz ozz zzzzz zzz zzzzzzzzzz zzzzzz zzzzz zzzz zzzzzzzz zzzzzzzzz zzzzoz zz zzzz
15,"The lawyers criticised the latest report because it provided no useful evidence for the case.","criticised","latest","because","provided","useful",,,,,,NaN,93,15,0,Zzz zzzzzzz zzszzzzzzz zsz zzzzzz zzzzzz zzzzzzs sz zzzzzzzz sz zzzzzz zzzzzzzz zzz zzs zzszz,1,7,Zzz zzzzzzz zzzozzzzzz zoz zzzzzz zzzzzz zzzozzz zz zzzzzzzz zz zzzzzz zzzzzzzz zzz zzz zzzzz
16,"The forecast warned about strong winds, accompanied by occasional rain, throughout most of the day.","warned","strong","accompanied","occasional","throughout",,,,,,NaN,99,15,0,Szz zszzzzzz zzzzzs szzzz zzzzzz zzzzzz zzzzzzzzzzz sz zzzzzzzzzz zzzzz zzzzzzzzzz zzsz zs szz zzzz,1,8,Zzz zzzzzzzz zzzozz zzzzz ozzzzz zzzzzz zzzzzzzzzzz zz zzzozzzzzz zzzzz zzzzzzzzzz zzoz zz zzz zzzz
17,"They debated whether using better surveillance equipment would deter potential thieves and improve security.","whether","better","equipment","deter","thieves",,,,,,NaN,108,14,0,Zzzz zzzzzzz zzzzzzz zzzzz zzzzsz zzzzzzzzzzzz zzzzzzzzz zzzzz szzzz zzzzzzzsz zzzzzzs zzs zzzzzzz zzzzzzzzz,1,5,Zzzz zzzzzzz zzzzzzz zzzoz zzzzzz zzzzzzzzzzzz zzzzzzzzz zzzzz zzzzz zzzzzzzzz zzzzzzz zzz zzzzzzz zzzzzzzzz
18,"The cook ordered the fresh organic fruits to support the farmers who produce them locally.","ordered","fresh","fruits","support","farmers",,,,,,NaN,90,15,0,Zzz zzzz zzszzzz zzs zzzsz zzzzszz zzzzzz zz zzzzzzz zzs zzzzzzz zzs zzzzzzz zzzz zzzzzzzz,1,6,Zzz ozzz zzzzzzz zzo zzzzz zzzzzzz zzzzzz zz zzzzzzz zzz zzzzzzz zzz zzzzzzz zzzz zzzzzzzz
19,"The child pestered the yellow fish that was hiding behind pondweed leaves in the aquarium.","pestered","yellow","that","hiding","pondweed",,,,,,NaN,90,15,0,Zzs szzzz zzzzzzzz zzz zzzzzz zzzz zzzz zzz zzzszz zzzszz zzzszzzz zzzzzz zs zzs zzzzzzzzz,1,7,Zzz zzzzz zzzzzzzo zoz zzzzzz zzzz zzzz zzo zzzzzz zzzzzz zzzzzzzz zzzzzz zz zzz zzzzzzzzz
20,"The witness remembered very clearly the brown leather jacket that belonged to the suspect.","remembered","clearly","brown","jacket","belonged",,,,,,NaN,90,14,0,Zzz zzzzzzz zzzzzzzzzz zzzz zzszzzz szz zzzzs zzzzzzz szzzzz zzzs zzzzzzsz sz zzz zzszzzzz,1,8,Zzz zzzzzzz zzzzzozzzz zzzz zzzzzzz ozz zzzzz ozzzzzz zzzzzz zzzz zzzzzzzz zz zzz zzzzzzzo
21,"The detective noted the evasive statement that Sam gave to explain his suspicious behaviour.","noted","evasive","that","gave","explain",,,,,,NaN,92,14,0,Zzz zzzzzzzzz zzzzz szz zzzzzzz zzzzzzzsz zzzz Zzz zzzs zz zzzzzzz zzz zzzzzzzzzs zzzzzzzszz,1,5,Zzz zzzzzzzzz zzzzz zzz zzzzzzz zzzzzzzoz zzzz Zzz zzzz zz zzzzzzz zzz zzzzzzzzzz zzzzzzzzzz
22,"The mayor stepped down after his insensitive comments created a social media scandal.","stepped","after","insensitive","created","social",,,,,,NaN,85,13,0,Szz zzzzs zzzzzzz zzzz zzzzz zzz zzszzzzzzzz zzzzzzzz zzzzzsz s zzzzzz zzzsz zzzzzzzz,1,6,Zzz zzzzz zzzzzzz zzzz zzzzz zzz zzzzzzzzzzz zzozzzzz zzzzzzz z zzzzzz zozzz zzzzzzzz
23,"The waitress assured the customer that every food item was prepared from fresh ingredients.","assured","customer","every","item","prepared",,,,,,NaN,91,14,0,Zzs zzzzzzzz zzszzzz zsz zzzzzzzz zszz zzzzz zszz zzzz zsz zzzzzzzz szzz zzzzz zzzzzzzzzzzz,1,7,Zzz zzzzzozz zzzzzzz zzz zzzzzzzz ozzz zzzzz zzzz zzzz zzo zzzzzzzz zzzz zzzzz zzzzzzzzzzzz
24,"The players remained focused despite initially losing the first three rounds of the game.","remained","despite","losing","first","rounds",,,,,,NaN,89,14,0,Zsz zzzzzzs zzzzzzzz zzzzzzz zzzszzz zzzzzzzzs zzzszz zzz zzzzz zzzsz zzzzzz zz zsz zzzzs,1,8,Zzz zzzozzz zzzzzzzz zzozzzz zzzzzzz zzzzzzzzz zzozzz zzz zzzzz ozzzz zzzzzz zz zzz zzzzz
25,"The student lost points because she used faulty reasoning to explain the concept.","lost","because","used","reasoning","explain",,,,,,NaN,81,13,0,Zzs zzzzzzz zzzz zzzzzz szzzzzz zsz zszz zzzzzz zzzzzzzzz zs zzzzzzz zzz zzzzzzzz,1,5,Zzz zzzzzzz zzzz zzzzzz zzzzzzz zzz zzzz zzzzzz zzzzzzzzz zo zzzzzzz zzz zzzzzzzz
26,"Yesterday, Nicole made a brief comment concerning her manager that caused a scandal.","made","brief","concerning","manager","caused",,,,,,NaN,84,13,0,Zzzzzzzzzz Zzzzzz szzz z zszzz zzzszzz zzzzzzzzzz zzz zzzzzsz szzz zzzzzz z zzzzzzzs,1,6,Zzzzzzzzzz Zzzzzz ozzz z zzzoz zzzzzzz zzzzzzzzzz zzz zzzzzzz zzzz zzzzzz z zzzzzzzz
27,"The increasing number of cyber crime offences has prompted discussions about tougher laws.","number","cyber","offences","prompted","about",,,,,,NaN,90,13,0,Zzz szzzzzzzzz zzzzzz sz zszzz zzzzz zzszzzzz zzz szzzzzzz zszzzzzzzzz zzzzz zzzzzzz zzzsz,1,7,Zzz zzzzzzzzzz ozzzzz zz zzzzz zzzzz zzzzzzzz zzz zzzzzzoz zzzzzzzzzzz zzzzz zzzzzzo zzzzz
28,"Without her glasses, Margaret struggled to read the road signs during her driving test.","glasses,","struggled","read","road","during",,,,,,NaN,87,14,0,Zzzzzzz zzz zzszzzzz Zzzzzzzs zzszzzzzz zs zzzz zzz zzzz zzzsz zzzzzs szz zzzzzzz zzzzs,1,8,Zzzzzzz zzz zozzzzzz Zzzzzzzz zzzzzzzzz oz zzzz zzz ozzz zzzzz zzzzzz zzz zzozzzz zzzzz
29,"The residents’ peace was disturbed by thousands of visitors who flocked to the town centre.","peace","disturbed","thousands","visitors","flocked",,,,,,NaN,91,15,0,Zzz zzzzzzzzzz zzzsz zzz zzzzzzzzs sz zzzzzzzzz zz zzzszzzz zzz zzzzzzz zs zzz zzzz zzzzzzz,1,5,Zzz zzzzzozzzz zzzzz zzz zzzzzzzzz zz zzzzzzzzz zz zzzzzzzz zzz zzzzzzz zz zzz zzzz zzzzzzz
30,"The workers replaced the faulty bathtub which had caused the entire first floor to be flooded.","replaced","faulty","which","caused","entire",,,,,,NaN,94,16,0,Zzz zzzzzsz zzzzzzzz zzz zzzzzz zzzzzzz zzzzz szz zzzzzz zsz zzzzzz zzszz szzzz zz zs zzzzzzzz,1,6,Zzz zzzzzzo zzzzzzzz zzz zzzzzz zzzzzzz zzzzz zzz zzzzzz zzz zzzzoz zzzzz zzzzz zz zz zzzzzzzz
31,"The technician provided expert knowledge that helped locate suspects in connection with the robbery.","provided","knowledge","helped","suspects","connection",What did the technician help with?,a robbery,cutting onions,preparing dinner,a space probe,1,100,14,1,Zzz zzzzzzzzzz zzzzzzzz zszzzz zzzzzzzzz zzsz zzzzzz zzzzsz szzzzzzz sz zzzzzzszzz zzzz zzz zzzszzzz,1,7,Zzz zzzzzzzzzz zzzzzzzz zzzzoz zzzzzzzzz zzzz zzzozz zzzzzz zzzzzzzz zo zzzzzzzzzz zzzz zzz zzzzzzzz
32,"The old lady needed somebody to help her clean the spacious three-bedroom flat.","lady","somebody","help","clean","spacious",What did the flat need?,more windows,a cleaning,a new jacuzzi,a new owner,2,79,13,1,Zzs szz zzsz zzzzzz zzzzzzzz zz zzzz zzz szzzz szz zzzzzzzs zzzzzszzzzzzz zzzsz,1,8,Zzz zzz ozzz zzozzz zzzzzzzz zz zzzz zoz zzzzz zzz zzzzzzzz zzzozzzzzzzzz zzzzz
33,"The clever merchant invested money in real estate during the financial crisis that shook the market.","merchant","money","real","during","financial",What did the merchant do?,eat fruits,call for help,invest money,call his wife,3,100,16,1,Zzz zzzzzz zzzzzzzz zzzzzszz zzzzz zz szzz zzzzzz zszzzz zzz zzzzzzzzz zzzzzz zzzz zzzzz szz zzzzzsz,1,5,Zzz zzzzzz zzzzzzzz zzzzzzzz zzzzz oz zzzz zzzzzz zzzzzz zzz zzzzzzzzz zzzzzz zzzz zzzzz zzz zzzzzzz
34,"Katy remained positive, despite facing financial problems that threatened to ruin her business.","positive,","facing","problems","threatened","ruin",What did Katy have? ,a new cat,a birthday,a baby,financial problems,4,95,13,1,Zzzs zzzzzzzz zzzzzzzzz zzzzzzz zzzzzs zzzzzzzzz zzzzzzzz zzzz zszzzzzzzz zz zzsz szz zzzszzzzz,1,6,Zzzz zzzzozzz zzzzzzzzz zzzzzzz zzzzzz zzzzzozzz zzzzzzzz zzzz zzzzzzzzzz zz zzzz zzz zzzzzzzzz
35,"The landlord made the decision to sell his property and retire to the countryside.","made","decision","sell","property","retire",What did the landlord decide to do?,sell his property,throw a party,get married,file for bankruptcy,1,82,14,1,Zzz zzzzszzz zzzz zzz zzzzzzzz sz zzsz zzs zzzzzzzz zzs zzzzzz sz zzs zzzzzzzzzzzz,1,7,Zzz zzzzzzzz zozz zzz ozzzzzzz zz zzzz zzz zzzzzzzz zzz zzzzzz zz zzz ozzzzzzzzzzz
36,"The brave little boy tried to rescue the dog which couldn’t get out of the river.","little","tried","rescue","dog","couldn’t",Where was the dog?,in a museum,in a river,in a car,in a park,2,81,16,1,Zzz zzzzz zzzzzz zzz szzzz sz zzzzsz zsz zzs zzzzs zszzzzzz zsz zzz zz zzz zzzzzz,1,8,Zzz zzzoz zzzzzz zzz zzzzz zz zzozzz zzz zzz ozzzz zzzzzzzz zzz zzz zz zoz zzzzzz
37,"The water supply was interrupted while works were underway to replace an old pipe.","supply","interrupted","works","underway","replace",What was interrupted?,the TV broadcast,the sports game,the water supply,the pool party,3,82,14,1,Zzz zzzzz zzzzzz szz zzzzzszzzzz zzzzz szzzz zzzz zzzzzszz zs zzzzzzz zz zzz zzzzz,1,5,Zzz ozzzz zzzzzz zzz zzzzzzzzzzz zzzzz zzzzz zzzz zzzzzzzz zz zzzzzzz zz zzz zzzzz
38,"Melissa decided against going home after work and, instead, took salsa lessons with her friends.","against","home","work","instead,","salsa",What did Melissa take?,her lunchbox,a holiday,a bottle of wine,salsa lessons,4,96,15,1,Zzzzzzz zzzzzzz zzzzzzz zzszz zzzs zzzzz zzzz zzzz zzszzzzz zzsz zzzzs zzzzzzz zzzz zzz zzzzzszz,1,6,Zzzzzzz zzzzzzz zzzzzzz zzzzz zzzz zzozz zzzz ozzz zzzzzzzz zzzz zzzzz zzzzzzz zzzz zzz zzzzzzzz
39,"The admiral ordered his troops to investigate the strange signal detected from the seabed.","ordered","troops","investigate","strange","detected",What did they investigate?,a strange signal,a murder case,a bear attack,a UFO sighting,1,90,14,1,Zzz zzzzzzz zzzzzzz szz zzzzzz zz zzzszzzzzzz zzs zzzszzz zzzzzz zzszzzzz zzzz zsz zzzszzz,1,7,Zzz zzzzzzz zzzzzzz zzz zzzzzz zo zzzzzzzzzzz zzz zzozzzz zzzzoz zzzzzzzz zzzz zzz zzzzzzz
40,"The doctor examined the patient who complained of constant headaches during the past week.","examined","patient","complained","constant","during",What did the doctor do?,cook dinner,examine a patient,walk his dog,buy coffee,2,90,14,1,Zzs zzzzzz zzzzszzz szz szzzzzz szz zzzzzzzzzz zz zzszzzzz zzzzzzzzz zzszzz zzz zzzs zzzzz,1,8,Zzz zzzzzz zozzzzzz zoz zzzzzzz zzz zzzzzzzzoz zz zzzzzzzz zzzzzzzzz zzzzzz zoz zzzz zzzzz
41,"Hannah enjoyed visiting the Museum of Modern Art during her holiday in the USA.","visiting","Museum","Modern","during","holiday",What did Hannah visit?,a night club,a beauty salon,a museum,a windmill,3,79,14,1,Zzzzzs zzzzzzs zzzzzzzs zzz Zzzzzz zz Zzzzzz Zzz zzzzzz zzs zzzzzsz zz zzz ZZZs,1,6,Zzzzzz zzzozzz zzzzzzzz zzz Zzzzzz zz Zzzzzz Zzz zzzzzz zzz zzzzzzz zz zzz ZZZz
42,"Surprisingly, the trip was cancelled after reports of unrest caused concern among the organisers.","trip","cancelled","reports","unrest","concern",What was cancelled?,the lecture,the TV show,the dance party,the trip,4,97,14,1,Zzzzzzzzzszzz zzz zzzz szz zzzzzzszz szzzz zszzzzz zz zzzzzz zzzzsz zzzzzzz zzzzs zzz zzzzzzzzzzz,1,7,Zzzzzzzzzzzzz zzz zzoz zzz zzzzzzzzz zzzzz zzzzzzz zz zzzzzz zzzzzz zzzzzzz zzzoz zzz zzzzzzzzzzz
43,"The new street was designed to reduce traffic congestion and improve safety for all road users.","street","designed","reduce","congestion","improve",,,,,,NaN,95,16,0,Szz zzz zzzszz zzz zzszzzzz zz zzzzzz zzzzzzs zzzzzzzzzz zzz zzzzzzz zzzzzz zzz zzz zzzz zszzzz,1,5,Zzz zzz ozzzzz zzz zzzzzzzz zz zzzzzz zzzozzz zzzzzzzzzz zzz zzzzzzz zzzzzz zzz zzz zozz zzzzzz
44,"The small hotel was known for providing cheap accommodation and good quality service.","hotel","known","providing","accommodation","good",,,,,,NaN,85,13,0,Zzz szzzz zzszz zzz zzzzs zzz zzszzzzzz zzzzz zzzzzzzzzzzzz zzz zzzz zszzzzz zzzzszzz,1,6,Zzz zozzz zzzzz zzo zzzzz zzz ozzzzzzzz zzzzz zzzzzzzzzzzzz zzz zozz zzzzzzz zzzzzzzz
45,"The candidate wanted to appeal to every media following the election campaign this year.","wanted","appeal","every","following","election",,,,,,NaN,88,14,0,Zzz zzzzzzzzz zszzzz sz zzzzzz sz zzzzz zszzz szzzzzzzz zzs zzzzzzzz zzzzzzzz zzzz zzzzs,1,7,Zzz zzzzzzzzz zzzozz zz zzzzzz zz zzzzz zzzzz zzzzzzzzz zzz zzzzzzzz zzzzzzzz zzzz zzzzz
46,"The general examined the evidence of military drills conducted in secret by the enemy.","examined","evidence","military","conducted","secret",,,,,,NaN,86,14,0,Zzz zzzzzzz zzzzzzzz szz zzzzszzz zz zzzzszzz szzzzz zzzzzzzzz zs zszzzz sz zzz szzzzz,1,8,Zzz zzzzzzz zzzzzzzo zzz zzzzzzzz zz zzzzzzzz zzzzzz zzzzzzzzz zz zzzzzz zz ozz zzzzzz
47,"The central bank published revised regulations regarding foreign currency and money transfers from abroad.","bank","revised","regarding","currency","money",,,,,,NaN,106,14,0,Zzz zzzzzzz zzzz szzzzzzzz zzzzzzs zzzzzszzzzz zzzzzzzzz zzzzzzz zzzszzzz zzz zzzzz zzszzzzzz zzzz zzzzzzz,1,5,Zzz zzzzzzz zozz zzzzzzzzz zzzzzzz zzzzzzzozzz zzzzzzzzz zzzzzzo zzzzzzzz zzz zzzzz zzzzzzzzz zzzz zzzzzzz
48,"The beautiful island was unknown to most people visiting the tropical country due to its small size.","island","unknown","most","visiting","tropical",,,,,,NaN,100,17,0,Zzz zzzzzszzz zzzzzz szz zzzzzzs zz zzzz zzzzzz zzzzzzzz zzs zzzzzzzz zzzzzzs zzz sz zsz szzzz zzzzz,1,8,Zzz zzzzzzozz zzzzzz zzz zzzzzzz zz zzzz zzzzzo zzzzzzzz zzz zzzzzzzz zozzzzz zzz zz zoz zzzzz zzzzz
49,"The start-up company scored record high sales soon after it opened for business.","company","record","sales","after","opened",,,,,,NaN,80,13,0,Zzz zzszzzzz zzzzzsz zzzszz zzzzzz zzzz zzszz zzzz zzzzz zz zzzzzz zzz zzzzzzszz,1,5,Zzz zzzzzzzz ozzzzzz zzzzzz zzzzzz zzzz zzzzz zzzz zzzzz zz zzzzzz zzz zzzzzzzzz
50,"Some local farmers received money from government programmes because they wanted to buy more land.","farmers","money","government","because","wanted",,,,,,NaN,98,15,0,Zzzz zzzzz zzzzzzz zzzzzzzz zzzzs szzz zzzzszzzzz zzzzzzzzsz zzzszzz zzzz zzzzzz zz zzz zzzs zzzzz,1,6,Zzzz zzzoz zzzzzzz zzzzzzzz zzzzz zzzz zzzzzzzzzz zozzzzzzzz zzzzzzz zzzz zzzzzz zz zzz zzzz zzzzz
51,"The reclusive monastery had hardly any contact with outsiders and maintained a simple way of life.","monastery","hardly","contact","outsiders","maintained",,,,,,NaN,98,16,0,Zzz zzzzzzszz zzzzzzzsz zzz zzzzzz zzz zzzzzzz zzzz zzzzzzzzz zsz zszzzzzzzz s zzzszz zzz zs zzzzz,1,7,Zzz zzzzzozzz zzzzzzzzz zzz zzzzzz zzz zzzzzzz zzzz zzzzzzzzz zzz zzzozzzzzz z zzzzzz ozz zz zzzzz
52,"The students learned how computer programs could soon assist medical staff with making diagnoses.","learned","computer","could","assist","staff",,,,,,NaN,97,14,0,Zzs zzzzzzzz zzszzzz zzz zzzzzzzz zzzzzzzz zzzzz zszz zzzszz zzzzszz zzzsz zzzs zzzzzs zzzzzzzzzz,1,8,Zzz zzzzzzzz zzzzzoz zzz zzozzzzz zzzzzzzz zzzzo zzzz zzzzzz zzzzzzz zzzzz zzzz zozzzz zzzzzzzzzz
53,"The enormous cave is largely unexplored because it's remote location makes it difficult to reach.","cave","largely","because","remote","makes",,,,,,NaN,97,15,0,Zzz zzzzzzzz zzzz zz zzzzzzz zzzzzzzzzz zzzzzzz zszz szzzzz szzzzzzz zzzzz zs zzzzzzzzz zz zzzzsz,1,5,Zzz zzzozzzz zzzz zz zzzzzzz zzzzzzzzzz zzzzzzz zzzz zzzzzz zzzzzzzz zzzzz zz zzzzzzzzz zz zzzzzz
54,"The documentery showed a series of crime cases which remain unsolved until today.","showed","series","crime","which","unsolved",,,,,,NaN,81,13,0,Szz zzzzzzzzzzz zzzzzz s zzzzsz sz zzzzz zzzzz zzzzz zzzzzz zzzzzzzz zzzsz szzzzz,1,6,Zzz zzzzzzzzzzz ozzzzz z zzzzzz zz zzzzz zzzzz zzzzz zzzzoz zzzzzzzz zzzzz zzzzzz
55,"The mountain trail was steep and difficult to navigate without proper climbing gear.","trail","steep","difficult","navigate","proper",,,,,,NaN,84,13,0,Zzz zzzzzzzz zszzz zzz zzzzz zzz zzzzzzzsz zs zzszzzzz zzzzzzz zzzzzs zzzzszzz zzszz,1,7,Zzz ozzzzzzz zzzzz zzz zzzzz zoz zzzzzzzzz zz zzzzzzzz zzzzzzz zzzzzo zzzzzzzz zzzzz
56,"John always admired the courage his brother showed when facing difficult situations in life.","admired","courage","brother","when","difficult",,,,,,NaN,92,14,0,Zzzs zzszzz zzzzzzz zzs zzzzzzz zzz zzzzzzz zzzzzz zzsz szzzzz zzzzzzzzz zzszzzzzzz zs zzszz,1,8,Zzzz zzzozz zzzzzzz zzo zzzzzzz zzz zzzzzzo zzzzzz zzzz zzzzzz zzzzzzozz zzzzzzzzzz zz zzzzz
57,"To Jane’s surprise, the flower somehow managed to survive the blazing heat with very little water.","surprise,","flower","managed","survive","blazing",,,,,,NaN,98,16,0,Zz szzzzz zzzzzzszz zzz zzszzz zzzzzzs zzzzzzz zs zzzzzzz zzz zzzzzzz zzzz zzzz zzzz zzzzzz zzzzzz,1,5,Zz Zzzzzz zzzzzozzz zzz zzzzzz zzzzzzz zzzzzzz zz zzzzzzz zzz zzzzzzz zzzz zzzz zzzz zzzzzz zzzzzz
58,"Many endangered species will receive much needed protection once the natural reserve is open.","species","receive","needed","once","natural",,,,,,NaN,93,14,0,Szzz zzzzzzzzzz zzzzzzz zzzs zzzzzzz zzzz szzzzz szzzzzzzzz zzzz szz zzzzzzz zzzzzzz zs zzzzz,1,6,Zzzz zzzzzzzzzz zzzzzzz zzzz ozzzzzz zzzz zzozzz zzzzzzzzzz zzzz zzz zzzzzzz zzzzzzz zz zzzzz
59,"The taxi driver had trouble finding customers and decided to call it a day.","driver","trouble","customers","decided","call",,,,,,NaN,75,14,0,Zsz zzzs zzzzzz szz zzzzzzs zzzzzzz zzzzzzzsz zzs zszzzzz zz zzzz zz z zzzz,1,7,Zzz zozz zzzzzz zzz zzzzozz zzzzzzz zzzzzozzz zzz zzzzzzz zz zzzz zz z zzzz
60,"The flight attendant was offered her position after completing a long training programme.","attendant","offered","position","completing","long",,,,,,NaN,89,13,0,Zzs zzzzzz zzzzzzzzz szz zzzzzzs zzz zzzzszzz szzzz zzzzzszzzz s zzzz zzzzzzzz zzzzszzzzz,1,8,Zzz zzzzzz zozzzzzzz zzz zzzzzzz zoz zzzzzzzz zzzoz zzzzzzzzzz z zzzz zzzzzzzz zzzzozzzzz
