ID	Sentence	TW1	TW2	TW3	TW4	TW5	Question	?1	?2	?3	?4	answ	nchar	nword	hasQuest	Zstring	same_len	z_answ	no_cap
25	The student lost points because she used faulty reasoning to explain the concept.	lost	because	used	reasoning	explain							81	13	0	Zzz zzzzzzz zzzz zzzzzz zzzzzzz zzz zzzz zzzzzz zzzzzzzzz zo zzzzzzz zzz zzzzzzzz	1	1	0
26	Yesterday, Nicole made a brief comment concerning her manager that caused a scandal.	made	brief	concerning	manager	caused							84	13	0	Zzzzzzzzzz Zzzzzz ozzz z zzzoz zzzzzzz zzzzzzzzzz zzz zzzzzzz zzzz zzzzzz z zzzzzzzz	1	2	0
27	The increasing number of cyber crime offences has prompted discussions about tougher laws.	number	cyber	offences	prompted	about							90	13	0	Zzz zzzzzzzzzz ozzzzz zz zzzzz zzzzz zzzzzzzz zzz zzzzzzoz zzzzzzzzzzz zzzzz zzzzzzo zzzzz	1	3	0
28	Without her glasses, Margaret struggled to read the road signs during her driving test.	glasses,	struggled	read	road	during							87	14	0	Zzzzzzz zzz zozzzzzz Zzzzzzzz zzzzzzzzz oz zzzz zzz ozzz zzzzz zzzzzz zzz zzozzzz zzzzz	1	4	0
29	The residents’ peace was disturbed by thousands of visitors who flocked to the town centre.	peace	disturbed	thousands	visitors	flocked							91	15	0	Zzz zzzzzozzzz zzzzz zzz zzzzzzzzz zz zzzzzzzzz zz zzzzzzzz zzz zzzzzzz zz zzz zzzz zzzzzzz	1	1	0
30	The workers replaced the faulty bathtub which had caused the entire first floor to be flooded.	replaced	faulty	which	caused	entire							94	16	0	Zzz zzzzzzo zzzzzzzz zzz zzzzzz zzzzzzz zzzzz zzz zzzzzz zzz zzzzoz zzzzz zzzzz zz zz zzzzzzzz	1	2	0
31	The technician provided expert knowledge that helped locate suspects in connection with the robbery.	provided	knowledge	helped	suspects	connection	What did the technician help with?	a robbery	cutting onions	preparing dinner	a space probe	1	100	14	1	Zzz zzzzzzzzzz zzzzzzzz zzzzoz zzzzzzzzz zzzz zzzozz zzzzzz zzzzzzzz zo zzzzzzzzzz zzzz zzz zzzzzzzz	1	3	0
32	The old lady needed somebody to help her clean the spacious three-bedroom flat.	lady	somebody	help	clean	spacious	What did the flat need?	more windows	a cleaning	a new jacuzzi	a new owner	2	79	13	1	Zzz zzz ozzz zzozzz zzzzzzzz zz zzzz zoz zzzzz zzz zzzzzzzz zzzozzzzzzzzz zzzzz	1	4	0
33	The clever merchant invested money in real estate during the financial crisis that shook the market.	merchant	money	real	during	financial	What did the merchant do?	eat fruits	call for help	invest money	call his wife	3	100	16	1	Zzz zzzzzz zzzzzzzz zzzzzzzz zzzzz oz zzzz zzzzzz zzzzzz zzz zzzzzzzzz zzzzzz zzzz zzzzz zzz zzzzzzz	1	1	0
34	Katy remained positive, despite facing financial problems that threatened to ruin her business.	positive,	facing	problems	threatened	ruin	What did Katy have? 	a new cat	a birthday	a baby	financial problems	4	95	13	1	Zzzz zzzzozzz zzzzzzzzz zzzzzzz zzzzzz zzzzzozzz zzzzzzzz zzzz zzzzzzzzzz zz zzzz zzz zzzzzzzzz	1	2	0
35	The landlord made the decision to sell his property and retire to the countryside.	made	decision	sell	property	retire	What did the landlord decide to do?	sell his property	throw a party	get married	file for bankruptcy	1	82	14	1	Zzz zzzzzzzz zozz zzz ozzzzzzz zz zzzz zzz zzzzzzzz zzz zzzzzz zz zzz ozzzzzzzzzzz	1	3	0
36	The brave little boy tried to rescue the dog which couldn’t get out of the river.	little	tried	rescue	dog	couldn’t	Where was the dog?	in a museum	in a river	in a car	in a park	2	81	16	1	Zzz zzzoz zzzzzz zzz zzzzz zz zzozzz zzz zzz ozzzz zzzzzzzz zzz zzz zz zoz zzzzzz	1	4	0
37	The water supply was interrupted while works were underway to replace an old pipe.	supply	interrupted	works	underway	replace	What was interrupted?	the TV broadcast	the sports game	the water supply	the pool party	3	82	14	1	Zzz ozzzz zzzzzz zzz zzzzzzzzzzz zzzzz zzzzz zzzz zzzzzzzz zz zzzzzzz zz zzz zzzzz	1	1	0
38	Melissa decided against going home after work and, instead, took salsa lessons with her friends.	against	home	work	instead,	salsa	What did Melissa take?	her lunchbox	a holiday	a bottle of wine	salsa lessons	4	96	15	1	Zzzzzzz zzzzzzz zzzzzzz zzzzz zzzz zzozz zzzz ozzz zzzzzzzz zzzz zzzzz zzzzzzz zzzz zzz zzzzzzzz	1	2	0
39	The admiral ordered his troops to investigate the strange signal detected from the seabed.	ordered	troops	investigate	strange	detected	What did they investigate?	a strange signal	a murder case	a bear attack	a UFO sighting	1	90	14	1	Zzz zzzzzzz zzzzzzz zzz zzzzzz zo zzzzzzzzzzz zzz zzozzzz zzzzoz zzzzzzzz zzzz zzz zzzzzzz	1	3	0
40	The doctor examined the patient who complained of constant headaches during the past week.	examined	patient	complained	constant	during	What did the doctor do?	cook dinner	examine a patient	walk his dog	buy coffee	2	90	14	1	Zzz zzzzzz zozzzzzz zoz zzzzzzz zzz zzzzzzzzoz zz zzzzzzzz zzzzzzzzz zzzzzz zoz zzzz zzzzz	1	4	0
41	Hannah enjoyed visiting the Museum of Modern Art during her holiday in the USA.	visiting	Museum	Modern	during	holiday	What did Hannah visit?	a night club	a beauty salon	a museum	a windmill	3	79	14	1	Zzzzzz zzzozzz zzzzzzzz zzz Zzzzzz zz Zzzzzz Zzz zzzzzz zzz zzzzzzz zz zzz ZZZz	1	1	0
42	Surprisingly, the trip was cancelled after reports of unrest caused concern among the organisers.	trip	cancelled	reports	unrest	concern	What was cancelled?	the lecture	the TV show	the dance party	the trip	4	97	14	1	Zzzzzzzzzzzzz zzz zzoz zzz zzzzzzzzz zzzzz zzzzzzz zz zzzzzz zzzzzz zzzzzzz zzzoz zzz zzzzzzzzzzz	1	2	0
43	The new street was designed to reduce traffic congestion and improve safety for all road users.	street	designed	reduce	congestion	improve							95	16	0	Zzz zzz ozzzzz zzz zzzzzzzz zz zzzzzz zzzozzz zzzzzzzzzz zzz zzzzzzz zzzzzz zzz zzz zozz zzzzzz	1	3	0
44	The small hotel was known for providing cheap accommodation and good quality service.	hotel	known	providing	accommodation	good							85	13	0	Zzz zozzz zzzzz zzo zzzzz zzz ozzzzzzzz zzzzz zzzzzzzzzzzzz zzz zozz zzzzzzz zzzzzzzz	1	4	0
45	The candidate wanted to appeal to every media following the election campaign this year.	wanted	appeal	every	following	election							88	14	0	Zzz zzzzzzzzz zzzozz zz zzzzzz zz zzzzz zzzzz zzzzzzzzz zzz zzzzzzzz zzzzzzzz zzzz zzzzz	1	1	0
46	The general examined the evidence of military drills conducted in secret by the enemy.	examined	evidence	military	conducted	secret							86	14	0	Zzz zzzzzzz zzzzzzzo zzz zzzzzzzz zz zzzzzzzz zzzzzz zzzzzzzzz zz zzzzzz zz ozz zzzzzz	1	2	0
47	The central bank published revised regulations regarding foreign currency and money transfers from abroad.	bank	revised	regarding	currency	money							106	14	0	Zzz zzzzzzz zozz zzzzzzzzz zzzzzzz zzzzzzzozzz zzzzzzzzz zzzzzzo zzzzzzzz zzz zzzzz zzzzzzzzz zzzz zzzzzzz	1	3	0
48	The beautiful island was unknown to most people visiting the tropical country due to its small size.	island	unknown	most	visiting	tropical							100	17	0	Zzz zzzzzzozz zzzzzz zzz zzzzzzz zz zzzz zzzzzo zzzzzzzz zzz zzzzzzzz zozzzzz zzz zz zoz zzzzz zzzzz	1	4	0
49	The start-up company scored record high sales soon after it opened for business.	company	record	sales	after	opened							80	13	0	Zzz zzzzzzzz ozzzzzz zzzzzz zzzzzz zzzz zzzzz zzzz zzzzz zz zzzzzz zzz zzzzzzzzz	1	1	0
50	Some local farmers received money from government programmes because they wanted to buy more land.	farmers	money	government	because	wanted							98	15	0	Zzzz zzzoz zzzzzzz zzzzzzzz zzzzz zzzz zzzzzzzzzz zozzzzzzzz zzzzzzz zzzz zzzzzz zz zzz zzzz zzzzz	1	2	0
51	The reclusive monastery had hardly any contact with outsiders and maintained a simple way of life.	monastery	hardly	contact	outsiders	maintained							98	16	0	Zzz zzzzzozzz zzzzzzzzz zzz zzzzzz zzz zzzzzzz zzzz zzzzzzzzz zzz zzzozzzzzz z zzzzzz ozz zz zzzzz	1	3	0
52	The students learned how computer programs could soon assist medical staff with making diagnoses.	learned	computer	could	assist	staff							97	14	0	Zzz zzzzzzzz zzzzzoz zzz zzozzzzz zzzzzzzz zzzzo zzzz zzzzzz zzzzzzz zzzzz zzzz zozzzz zzzzzzzzzz	1	4	0
53	The enormous cave is largely unexplored because it's remote location makes it difficult to reach.	cave	largely	because	remote	makes							97	15	0	Zzz zzzozzzz zzzz zz zzzzzzz zzzzzzzzzz zzzzzzz zzzz zzzzzz zzzzzzzz zzzzz zz zzzzzzzzz zz zzzzzz	1	1	0
54	The documentery showed a series of crime cases which remain unsolved until today.	showed	series	crime	which	unsolved							81	13	0	Zzz zzzzzzzzzzz ozzzzz z zzzzzz zz zzzzz zzzzz zzzzz zzzzoz zzzzzzzz zzzzz zzzzzz	1	2	0
55	The mountain trail was steep and difficult to navigate without proper climbing gear.	trail	steep	difficult	navigate	proper							84	13	0	Zzz ozzzzzzz zzzzz zzz zzzzz zoz zzzzzzzzz zz zzzzzzzz zzzzzzz zzzzzo zzzzzzzz zzzzz	1	3	0
56	John always admired the courage his brother showed when facing difficult situations in life.	admired	courage	brother	when	difficult							92	14	0	Zzzz zzzozz zzzzzzz zzo zzzzzzz zzz zzzzzzo zzzzzz zzzz zzzzzz zzzzzzozz zzzzzzzzzz zz zzzzz	1	4	0
57	To Jane’s surprise, the flower somehow managed to survive the blazing heat with very little water.	surprise,	flower	managed	survive	blazing							98	16	0	Zz Zzzzzz zzzzzozzz zzz zzzzzz zzzzzzz zzzzzzz zz zzzzzzz zzz zzzzzzz zzzz zzzz zzzz zzzzzz zzzzzz	1	1	0
58	Many endangered species will receive much needed protection once the natural reserve is open.	species	receive	needed	once	natural							93	14	0	Zzzz zzzzzzzzzz zzzzzzz zzzz ozzzzzz zzzz zzozzz zzzzzzzzzz zzzz zzz zzzzzzz zzzzzzz zz zzzzz	1	2	0
59	The taxi driver had trouble finding customers and decided to call it a day.	driver	trouble	customers	decided	call							75	14	0	Zzz zozz zzzzzz zzz zzzzozz zzzzzzz zzzzzozzz zzz zzzzzzz zz zzzz zz z zzzz	1	3	0
60	The flight attendant was offered her position after completing a long training programme.	attendant	offered	position	completing	long							89	13	0	Zzz zzzzzz zozzzzzzz zzz zzzzzzz zoz zzzzzzzz zzzoz zzzzzzzzzz z zzzz zzzzzzzz zzzzozzzzz	1	4	0
61	The scientists investigated the bright energy bursts that appeared to come from outer space.	investigated	bright	bursts	appeared	come	What did the scientists investigate?	energy bursts	microbes	fruit flies	DNA samples	1	92	14	1	Zzz zzzzzzzzzz zzzzzzzzzzzz zzz zzzzzz zzzzzz zzzzzo zzzz zzzzzzzz zz zzzz zzzz zzzzz zzzzzz	1	1	0
62	Because the road looked steep and difficult to climb, the cyclists pushed their bikes.	road	steep	difficult	climb,	cyclists	What did the cyclists push?	their tractor	their bikes	their car	their boat	2	86	14	1	Zzzzzzz zzz zzzz zzzzzz zzzzz zoz zzzzzzzoz zz zzzzzz zzz zzzzzzzz zzzzzz zzzzz zzzzzz	1	2	0
63	The new computer factory promised to create more jobs and attract specialists from nearby towns.	computer	promised	create	jobs	attract	What did the factory promise?	more rain	more holidays	more jobs	more food	3	96	15	1	Zzz zzz zzzzzzzz zzzzzoz zzzzzzzz zz zzzzzz zzzz ozzz zzz zzzzzzz zzzzzzzzzzz zzzz ozzzzz zzzzzz	1	3	0
64	The car engine problems started because someone had damaged a valve during the maintenance.	engine	started	someone	damaged	valve	What did the car have?	a nice stereo	leather seats	new tyres	engine problems	4	91	14	1	Zzz zzo zzzzzz zzzzzzzz ozzzzzz zzzzzzz zzzzzzz zzz zzzozzz z zzzzz ozzzzz zzz zzzzzzzzzzzz	1	4	0
65	The heavy rain storm forced some businesses in town to remain closed after the streets were flooded.	rain	forced	businesses	town	remain	What caused the businesses to close?	the rain storm	the lack of customers	the robbery	the Christmas holidays	1	100	17	1	Zzz zzzzz zzzz zzzzz zzzzzz zzzz zzzzzzzzzz zz zzzz zz zzzzzz zzzzzz zzzoz zzz zzzzzzz zzzz zzzzzzzz	1	1	0
66	The poet spent the whole summer writing short stories for another book project.	spent	whole	writing	stories	another	What did the poet write?	his will	short stories	a prophecy	a movie script	2	79	13	1	Zzz zzzz zzzzz zzz zzzzz zzzzzz zzzzzzo zzzzz zzzzzzz zzz zzzzzzo zzzz zzzzzzzz	1	2	0
67	The new church was built with donations from companies and members of the public.	church	built	donations	companies	members	What was the church built with?	free labour	free tools	donations	free materials	3	81	14	1	Zzz ozz zzzzzz zzz zzzzz zzzz zzzzzzzzz zzzz zozzzzzzz zzo zzzzzzz zz zzz zzzzzzz	1	3	0
68	The mission failed to uncover the enormous pirate treasure, which some believe is buried in the ocean.	failed	uncover	enormous	treasure,	some	What were they looking for?	a lost cat	dinosaur bones	UFOs	a pirate treasure	4	102	17	1	Zzz zozzzzz zzzzzz zz zzzzzzz zzz zzzzzozz zzzzzz zzzzozzzz zzzzz zzzz zzzzzzz zz zozzzz zz zzz zzzzzz	1	4	0
69	The journalist finished her assignment and prepared several good questions before the interview.	finished	assignment	prepared	good	before	What did the journalist prepare for?	an interview	a gala dinner	a safari	a swimming lesson	1	96	13	1	Zzz zzzzzzzzzz zzzzzozz zzz zzzzzzzzzz zzz zzzzzzzz zzzzzzz zzzz zzzzzzzzz zzzzzz zzz zzzzzzzzzz	1	1	0
70	The art gallery was recently renovated thanks to funding from wealthy benefactors from the region.	gallery	recently	thanks	funding	wealthy	What happened to the art gallery?	it was vandalised	it was renovated	it was burned down	it was demolished	2	98	15	1	Zzz zzz ozzzzzz ozz zzzzzzzz zzzzzzzzz zzzzzz zz zzzzzzz zzzz zzzzzzz zzzzzzzzzzz zzzz zzz zzzzzzz	1	2	0
71	The couple celebrated their tenth wedding anniversary by visiting the place where they first met.	celebrated	tenth	anniversary	visiting	place	What did the couple celebrate?	a new house	a new baby	a wedding anniversary	a birthday	3	97	15	1	Zzz ozzzzz zzzzzzzzzz zzzzz zzzzz zzozzzz zzzzzzzzzzz zz zzozzzzz zzz zzzzz zzzzz zzzz zzzzz zzzz	1	3	0
72	The forest fire spread quickly and gave the firefighters little time to bring it under control.	fire	quickly	gave	firefighters	time	What spread quickly?	the nuclear fallout	the rumours	the contaminated water	the forest fire	4	95	16	1	Zzz zzzzzz zzzo zzzzzz zzzzzzz zoz zzzz zzz zzzzzzzzzzzz zzzzzz zzzz zo zzzzz zz zozzz zzzzzzzz	1	4	0
73	The client asked for another evening dress that matched her velvet boutique shoes.	asked	another	dress	matched	velvet							82	13	0	Zzz zzzozz zzzzz zzz zzzzzzz zzzzzzz zzzzz zzzz zzzzzzz zzz zzzzzz zzzzzzzz zzzzzz	1	1	0
74	The government tried to support the interest in solar power technology in the private sector.	tried	support	interest	solar	technology							93	15	0	Zzz zzzzzzzzzz zzzzz zz zzzzzzz zzz zzzozzzz zz zzzzz zzzzz zzzzzzzzzz zz zzz zzzzzzo zzzzzzz	1	2	0
75	The buffet offered many different food options, which included both continental and British meals.	offered	different	options,	included	continental							98	14	0	Zzz zzzzzz zzzzozz zzzz zzzzzzzzz zzzz zzzzzzzz ozzzz zzzzzzzz zzzz zzzzzzzzzzz zzz Zzzzzzz zzzzzo	1	3	0
76	Because the weather was cold and windy, the children weren’t allowed to play outside.	weather	cold	windy,	children	allowed							85	14	0	Zzzzzzz zzz zozzzzz zoz zzzz zzz zzzzzz ozz zzzzzzzz zzzzzzz zzzzzzz zz zzoz zzzzzzzz	1	4	0
77	The landlady asked the tenants to keep the house clean during their stay there.	asked	tenants	keep	house	during							79	14	0	Zzz zzzzzzzz zzzzz zzz zzzzzzo zz zzzz zzz zzzzz zzzzz zzzzzz zzzzz zzzz zzzzzz	1	1	0
78	The charity tried to raise more money for improving healthcare facilities in developing countries.	tried	raise	money	improving	facilities							98	14	0	Zzz zzzzzzz zzzzz zz zozzz zzzz zzzzz zzz zzzzzzzzz zzzzzozzzz zzzzzzzzzz zz zzzzzzzzzz zzzzzzzzzz	1	2	0
79	The president wants to stay in politics after completing his term later this year.	wants	stay	politics	completing	term							82	14	0	Zzz zzzzzzzzz zzzoz oz zzzz zz zzzzzzzz zzozz zzzzzzzzzz zzz zzzz zzzzz zzzz zzzzz	1	3	0
80	The supermarket chain had ambitions to expand their operation to nearby countries in the future.	chain	ambitions	expand	operation	nearby							96	15	0	Zzz zzzzzzzozzz zzzzz zoz zzzzzzzzz zz zzozzz zzzzz zzzzzzzzz zz zzzzzz zzzzzzzzz zz ozz zzzzzzz	1	4	0
81	The club aimed to foster cultural awareness and friendship among people of different nations.	aimed	foster	awareness	friendship	people							93	14	0	Zzz zzzz zzzzz zz zzzzzz zzzzzzzz zzzzzzzzz ozz zzzzzzzzzz zzzzz zzzzzz zz zzzzzzzzz zzzzzzzz	1	1	0
82	The strong currency attracted investments from foreign companies interested in expanding their business.	currency	investments	foreign	interested	expanding							104	13	0	Zzz zzzzzz ozzzzzzz zzzzzzzzz zzzzzzzzzzz zzzz zzzzzzz zzozzzzzz zzzzzzzzzz zz zzzzzzzzz zzzzz zzzzzzzzz	1	2	0
83	The young mother was tired of seeing her children play pranks on each other all the time.	mother	tired	seeing	children	pranks							89	17	0	Zzz zzzzz zzzzzz zzz zzzzz zz zzzzzz ozz zzzzzzzz zzzz zzzozz zz zzzz zzzzz zzz zoz zzzzz	1	3	0
84	Kristin was surprised to receive an honourable mention during the prize award ceremony.	surprised	receive	honourable	during	prize							87	13	0	Zzzzzzz zzz zzzozzzzz zo zzzzzzz zz zzozzzzzzz zzzzzzz zzzzzz zzz ozzzz zzzzz zzzzzzzzz	1	4	0
85	The campers realised that forested areas offer better protection from wild animals and mosquitoes.	realised	forested	offer	protection	wild							98	14	0	Zzz zzzzzzz zzzzozzz zzzz zzzzzzzz zzzzz zzzzz zzzzzz zzzzzzzzzz zzzz zzzz zzzzzzz zzz zzzzzzzzzzz	1	1	0
86	The severe drought affected many farmers despite the water irrigation systems that were installed.	drought	many	despite	water	systems							98	14	0	Zzz zzzzzz zzzzzzz zzzzzzzz zzzz zzzzzzz zzzzzzz ozz zzzzz zzzzzzzzzz zzzzzzz zzoz zzzz zzzzzzzzzz	1	2	0
87	The green park attracted many city dwellers, who wanted to enjoy the summer days outside.	park	many	dwellers,	wanted	enjoy							89	15	0	Zzz zzzzz ozzz zzzzzzzzz zzzz zzzz zzzzozzzz zzz zzzzzz zz zzzzz zzz zzzzzz zozz zzzzzzzz	1	3	0
88	Plans to build the final underground station were scrapped after historical ruins were unearthed.	build	final	station	scrapped	historical							97	14	0	Zzzzz zo zzzzz ozz zzzzz zzzzzzzzzzz zzzzzzz zzoz zzzzzzzz zzzzz zzzzzzzzzz zzzzz zzzz zzzzozzzzz	1	4	0
89	The instructor demonstrated the technique for passing the ball to another player on the field.	demonstrated	technique	passing	ball	another							94	15	0	Zzz zzzzzzzzzz zzzzzzzzzzzz zzz zzzzzzzzz zzz zzzzzzz zzz zzoz zz zzzzzzz zzzzzz zz zzz zzzzzz	1	1	0
90	The old gravel road outside of town was perfect for mountain bike competitions.	gravel	outside	town	perfect	mountain							79	13	0	Zzz zzz zzzzzz zzoz zzzzzzz zz zzzz zzz zzzzzzz zzz zzzzzzzz zzzz zzzzzozzzzzzz	1	2	0
91	The nurse conducted the required tests diligently and informed the doctor about the results.	conducted	required	diligently	informed	doctor	What did the nurse do?	take a holiday	watch a movie	conduct tests	feed her cat	3	92	14	1	Zzz zzozz zzzzzzzzz zzz zzzzzzoz zzzzz zzzzzzzzzz zzz zzzozzzz zzz zzzzzz zzzzz zzz zzzzzzzz	1	3	0
92	The children practised their lines regularly before the school play which had been organised for their parents.	practised	lines	before	school	which	What did the children do?	go to the doctor	take a nap	eat ice-cream	practice for a play	4	111	17	1	Zzz zzozzzzz zzzzzzzzz zzzzz zozzz zzzzzzzzz zzzzzz zzz zzzzzz zozz zzzzz zzz zozz zzzzzzzzz zzz zzzzz zzzzzzzz	1	4	0
